href,title
https://www.indiamart.com/proddetail/vela-ashok-tmt-rebars-26012980648.html?pos=1&kwd=rebar%20steel&tags=rk:TS||dt:49|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_TS_50_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:salem|qr_nm:localhgmct-gl-gd|cs:16618|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:2-0-0-0-2-6-0|tyr:3|qrd:250826|mrd:250827|prdt:250827|gli:G0I0|v=4|crs=glb,"Vela & Ashok TMT Rebars, For Constructions, Grade: Fe 500"
https://www.indiamart.com/proddetail/500-d-tmt-rebar-13843576933.html?pos=2&kwd=rebar%20steel&tags=rk:TS||dt:91|db:02||dtp:p||sv:VGP|rsf:gd|ri:VGP_TS_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:salem|qr_nm:localhgmct-gl-gd|cs:16618|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:2-0-0-0-2-6-0|tyr:3|qrd:250826|mrd:250827|prdt:250827|gli:G0I0|v=4|crs=glb,500 D TMT Rebar
https://www.indiamart.com/proddetail/tmt-rebar-13824034748.html?pos=4&kwd=rebar%20steel&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:VGP|rsf:localhgmct|ri:VGP_C_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:salem|qr_nm:localhgmct-gl-gd|cs:16618|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:2-0-0-0-2-6-0|tyr:3|qrd:250826|mrd:250827|prdt:250827|gli:G0I0|v=4|crs=glb|r=4,TMT Rebar
https://www.indiamart.com/proddetail/10mm-tmt-rebar-2854256640733.html?pos=5&kwd=rebar%20steel&tags=rk:A|plc:1|dt:78|db:02|prc:1|dtp:p|pfs:1|sv:T|rsf:localhgmct|ri:T_A_100_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:salem|qr_nm:localhgmct-gl-gd|cs:16618|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:2-0-0-0-2-6-0|tyr:3|qrd:250826|mrd:250827|prdt:250827|gli:G0I0|v=4|crs=glb|r=4,"10mm TMT Rebar, Fe 500"
https://www.indiamart.com/proddetail/tmt-bars-rebar-12-mm-2852048204530.html?pos=6&kwd=rebar%20steel&tags=rk:TS|plc:1|dt:279|db:06||dtp:p|pfs:1|sv:T|rsf:gl|ri:T_TS_G250_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:salem|qr_nm:localhgmct-gl-gd|cs:16618|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:2-0-0-0-2-6-0|tyr:3|qrd:250826|mrd:250827|prdt:250827|gli:G0I0|v=4|crs=glb|r=4,"Tmt Bars Rebar 12 Mm, Fe 550D"
https://www.indiamart.com/proddetail/tata-tiscon-8mm-tmt-rebars-2855886579297.html?pos=7&kwd=rebar%20steel&tags=rk:A|plc:1|dt:1626|db:33||dtp:p|pfs:1|sv:T|rsf:gl|ri:T_A_G250_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:salem|qr_nm:localhgmct-gl-gd|cs:16618|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:2-0-0-0-2-6-0|tyr:3|qrd:250826|mrd:250827|prdt:250827|gli:G0I0|v=4|crs=glb|r=4,Tata Tiscon 8mm TMT Rebars
https://www.indiamart.com/proddetail/fe550d-8mm-tmt-rebars-2854923351955.html?pos=8&kwd=rebar%20steel&tags=rk:B||dt:157|db:04||dtp:p||sv:VGP|rsf:gd|ri:VGP_B_250_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:salem|qr_nm:localhgmct-gl-gd|cs:16618|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:2-0-0-0-2-6-0|tyr:3|qrd:250826|mrd:250827|prdt:250827|gli:G0I0|v=4|crs=glb|r=4,FE550D 8mm TMT Rebars
https://www.indiamart.com/proddetail/tmt-rebar-500d-13961550991.html?pos=9&kwd=rebar%20steel&tags=rk:T||dt:189|db:04||dtp:p||sv:VGP|rsf:gd|ri:VGP_T_250_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:salem|qr_nm:localhgmct-gl-gd|cs:16618|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:2-0-0-0-2-6-0|tyr:3|qrd:250826|mrd:250827|prdt:250827|gli:G0I0|v=4|crs=glb|r=3,TMT Rebar 500d
https://www.indiamart.com/proddetail/6mm-tmt-rebar-25500168591.html?pos=10&kwd=rebar%20steel&tags=rk:TS||dt:148|db:03|prc:1|dtp:p|pfs:1|sv:VGP|rsf:gd|ri:VGP_TS_250_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:salem|qr_nm:localhgmct-gl-gd|cs:16618|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:2-0-0-0-2-6-0|tyr:3|qrd:250826|mrd:250827|prdt:250827|gli:G0I0|v=4|crs=glb|r=4,"8 mm 6mm Tmt Rebar, Fe 500"
